dataset,language,mode,seeds,task,accuracy_mean,accuracy_std,exact_match_mean,exact_match_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,micro_f1_mean,micro_f1_std,weighted_f1_mean,weighted_f1_std
masakhaner2,bam,fine-tune,5,ner,0.9787,0.0005,,,,,0.639,0.0034,,,,,,,0.9777,0.0004
masakhaner2,bbj,fine-tune,5,ner,0.9539,0.0013,,,,,0.6142,0.0189,,,,,,,0.9518,0.0014
masakhaner2,ewe,fine-tune,5,ner,0.9603,0.0016,,,,,0.8316,0.0067,,,,,,,0.9616,0.0014
masakhaner2,fon,fine-tune,5,ner,0.9805,0.0007,,,,,0.7871,0.0108,,,,,,,0.9795,0.0007
masakhaner2,hau,fine-tune,5,ner,0.9469,0.0015,,,,,0.8383,0.0037,,,,,,,0.9497,0.0011
masakhaner2,ibo,fine-tune,5,ner,0.9836,0.0005,,,,,0.8519,0.0076,,,,,,,0.9835,0.0007
masakhaner2,kin,fine-tune,5,ner,0.9589,0.0017,,,,,0.8224,0.0108,,,,,,,0.9589,0.0018
masakhaner2,lug,fine-tune,5,ner,0.9578,0.0034,,,,,0.8459,0.015,,,,,,,0.9576,0.0041
masakhaner2,luo,fine-tune,5,ner,0.9609,0.001,,,,,0.7899,0.005,,,,,,,0.9599,0.001
masakhaner2,mos,fine-tune,5,ner,0.9675,0.001,,,,,0.7592,0.0089,,,,,,,0.9665,0.001
masakhaner2,nya,fine-tune,5,ner,0.9828,0.0003,,,,,0.8779,0.0028,,,,,,,0.9828,0.0004
masakhaner2,pcm,fine-tune,5,ner,0.982,0.0005,,,,,0.8891,0.0032,,,,,,,0.9821,0.0005
masakhaner2,sna,fine-tune,5,ner,0.9804,0.0006,,,,,0.8995,0.0048,,,,,,,0.9803,0.0006
masakhaner2,swa,fine-tune,5,ner,0.9784,0.0004,,,,,0.8788,0.0019,,,,,,,0.9791,0.0004
masakhaner2,tsn,fine-tune,5,ner,0.9634,0.0001,,,,,0.7767,0.0078,,,,,,,0.963,0.0006
masakhaner2,twi,fine-tune,5,ner,0.9818,0.0007,,,,,0.7807,0.0061,,,,,,,0.9816,0.0006
masakhaner2,wol,fine-tune,5,ner,0.9735,0.0006,,,,,0.6894,0.0178,,,,,,,0.9726,0.0008
masakhaner2,xho,fine-tune,5,ner,0.9478,0.0013,,,,,0.8183,0.0055,,,,,,,0.9503,0.0013
masakhaner2,yor,fine-tune,5,ner,0.9763,0.0006,,,,,0.802,0.0092,,,,,,,0.9764,0.0007
masakhaner2,zul,fine-tune,5,ner,0.9652,0.0016,,,,,0.8049,0.0077,,,,,,,0.9655,0.0015
masakhaner_amh,amh,fine-tune,5,ner,0.9417,0.0021,,,,,0.7458,0.0076,,,,,,,0.9431,0.0019
tigrinya_ner,tir,fine-tune,5,ner,0.9521,0.0012,,,,,0.8256,0.007,,,,,,,0.9532,0.0011
amqa,amh,fine-tune,5,qa,,,32.9333,1.4269,48.9763,1.463,,,,,,,,,,
tigqa,tir,fine-tune,5,qa,,,2.0896,1.335,9.925,0.5966,,,,,,,,,,
afrisenti,amh,fine-tune,5,sentiment,0.4954,0.0653,,,,,0.4959,0.045,0.6079,0.0107,0.6129,0.0328,,,0.549,0.0711
afrisenti,arq,fine-tune,5,sentiment,0.5825,0.0573,,,,,0.3896,0.0994,0.5324,0.2425,0.4312,0.0613,,,0.4973,0.1015
afrisenti,ary,fine-tune,5,sentiment,0.4533,0.0116,,,,,0.4395,0.0109,0.4715,0.0129,0.4464,0.0098,,,0.4499,0.0128
afrisenti,hau,fine-tune,5,sentiment,0.6963,0.013,,,,,0.6934,0.017,0.7135,0.0052,0.6974,0.0127,,,0.6928,0.0172
afrisenti,ibo,fine-tune,5,sentiment,0.7297,0.0204,,,,,0.7168,0.0235,0.7405,0.0199,0.7058,0.0239,,,0.7262,0.0217
afrisenti,kin,fine-tune,5,sentiment,0.5177,0.014,,,,,0.5037,0.0171,0.5245,0.017,0.5176,0.0203,,,0.504,0.0139
afrisenti,pcm,fine-tune,5,sentiment,0.6848,0.0133,,,,,0.4642,0.0095,0.4505,0.012,0.4857,0.0094,,,0.6419,0.012
afrisenti,por,fine-tune,5,sentiment,0.6472,0.0249,,,,,0.5995,0.0177,0.5843,0.0184,0.6363,0.0132,,,0.6577,0.022
afrisenti,swa,fine-tune,5,sentiment,0.5936,0.0,,,,,0.2483,0.0,0.1979,0.0,0.3333,0.0,,,0.4422,0.0
afrisenti,tso,fine-tune,5,sentiment,0.4803,0.0115,,,,,0.2567,0.0552,0.2476,0.085,0.345,0.0182,,,0.3502,0.0571
afrisenti,twi,fine-tune,5,sentiment,0.5576,0.0564,,,,,0.37,0.0897,0.3428,0.1066,0.4225,0.0552,,,0.4807,0.1021
afrisenti,yor,fine-tune,5,sentiment,0.5622,0.0276,,,,,0.5345,0.0323,0.6067,0.0211,0.5738,0.0232,,,0.5558,0.0333
afrisenti,orm,zero-shot,5,sentiment,0.4314,0.0046,,,,,0.2078,0.0107,0.3913,0.1139,0.3355,0.0047,0.4314,0.0046,0.2656,0.0111
afrisenti,tir,zero-shot,5,sentiment,0.3456,0.035,,,,,0.3401,0.0423,0.6282,0.0232,0.4543,0.0218,0.3456,0.035,0.3253,0.0595
